id,nome,moradaSede,estaleiros,coordsSede
E209,"MUNICÍPIO DE OURIQUE","AVENIDA 25 DE ABRIL Nº26, 7670-250 OURIQUE  ","[]",""
E210,"CICCOPN - CENTRO DE FORMAÇÃO PROFISSIONAL DA INDÚSTRIA  ","RUA DA ESPINHOSA, 4475-699 MAIA","[]",""
E211,"MUNICIPIO DE VILA VIÇOSA","Praça da República 24, 7160-207 VILA VIÇOSA","[]",""
E236,"J.F. MONSARAZ","","[]",""
E237,"VIMAGUA EMPRESA DE AGUA E SANEAMENTO DE GUIMARÃES E VIZ","","[]",""
E238,"FERROVIAL","MAIA","[]",""
E244,"AMDS - TORRE MONCORVO","","[]",""
E245,"AQUAPOR-ALBUFEIRA","","[]",""
E261,"MUNICIPIO DE MELGAÇO","","[]",""
E280,"C.M. VIMIOSO","","[]",""
E284,"FCC - REDE AMBIENTE","","[]",""
E290,"JORDÃO","","[]",""
E292,"NAVIGATOR FIG. FOZ","","[]",""
E293,"PESTANA","","[]",""
E297,"JOSÉ CARLOS SERIZ CARRILHO","PORTELA, LISBOA","[]",""
